Iteration,Error
1.0,0.0105897096158
2.0,0.0106643725836
3.0,0.0106123716587
4.0,0.010639863513
5.0,0.0104863812004
6.0,0.0105868426072
7.0,0.010665829498
8.0,0.0106704907943
9.0,0.0105388182071
10.0,0.0106197548146
11.0,0.0105623602803
12.0,0.0104978483498
13.0,0.0104875916584
14.0,0.0107568567175
15.0,0.0104617616818
16.0,0.0103525850336
17.0,0.0103296762172
18.0,0.0105819153227
19.0,0.0104357814574
20.0,0.0106171234592
21.0,0.010457940253
22.0,0.0106689406622
23.0,0.0104880421707
24.0,0.0105616426532
25.0,0.0106041086778
26.0,0.0105933383561
27.0,0.0104147443629
28.0,0.0106416161828
29.0,0.0105554325876
30.0,0.0106371225698
31.0,0.0106483543922
32.0,0.0104617423904
33.0,0.0106254591756
34.0,0.0105442367722
35.0,0.0106363845998
36.0,0.0104605727732
37.0,0.0105498408158
38.0,0.0103853029075
39.0,0.0105124573218
40.0,0.0103980855756
41.0,0.0107405036294
42.0,0.0107457413927
43.0,0.0103646182081
44.0,0.0105350390492
45.0,0.0104950683657
46.0,0.0105242873245
47.0,0.0104610828259
48.0,0.0105211891697
49.0,0.0103927939654
50.0,0.0105582231596
51.0,0.0103888116383
52.0,0.0102912807961
53.0,0.0104611164176
54.0,0.0106170797439
55.0,0.0105443588103
56.0,0.0103953849837
57.0,0.0105527938961
58.0,0.0105199733111
59.0,0.01035203257
60.0,0.0105214637182
61.0,0.0105443414363
62.0,0.0103428899224
63.0,0.0105610659149
64.0,0.010537089635
65.0,0.0104418007337
66.0,0.0106281833049
67.0,0.0104424922356
68.0,0.0104291914807
69.0,0.0105767144125
70.0,0.0104482586024
71.0,0.0102058286773
72.0,0.0102724122219
73.0,0.0102473719131
74.0,0.010355747279
75.0,0.0105027320926
76.0,0.0104146692707
77.0,0.010545395632
78.0,0.0104012199516
79.0,0.0104962516257
80.0,0.0103488576538
81.0,0.010349471568
82.0,0.010483772133
83.0,0.0103078494102
84.0,0.0104119046103
85.0,0.0104032359937
86.0,0.0103237639533
87.0,0.0105369930812
88.0,0.0102912323887
89.0,0.0100982804885
90.0,0.0101951783405
91.0,0.0103397840838
92.0,0.0103041300857
93.0,0.0101096442874
94.0,0.0102815301392
95.0,0.0101992860416
96.0,0.0102720831586
97.0,0.0102100850496
98.0,0.010053333352
99.0,0.010265410712
100.0,0.0101817730442
101.0,0.0100920629902
102.0,0.0102373390779
103.0,0.0102138745586
104.0,0.010080167354
105.0,0.0101671967806
106.0,0.0101359594985
107.0,0.0102674102517
