Iteration,Error
1.0,0.470723040938
2.0,0.46923638746
3.0,0.46774703032
4.0,0.466201678249
5.0,0.464539312337
6.0,0.462689378424
7.0,0.460567299714
8.0,0.458071197225
9.0,0.455079945481
10.0,0.451452558067
11.0,0.447029256908
12.0,0.441634897911
13.0,0.435085626471
14.0,0.427199570319
15.0,0.41781185934
16.0,0.406793142998
17.0,0.394069170497
18.0,0.379637944947
19.0,0.363583143348
20.0,0.346090156496
21.0,0.327475628892
22.0,0.30821992338
23.0,0.288958193452
24.0,0.270401762659
25.0,0.253208640691
26.0,0.237849359839
27.0,0.224523174208
28.0,0.213161497257
29.0,0.203509720452
30.0,0.195237937102
31.0,0.188029516334
32.0,0.181626685944
33.0,0.175839976149
34.0,0.170538065496
35.0,0.165631846906
36.0,0.161060123242
37.0,0.156779250267
38.0,0.152756467496
39.0,0.148965881958
40.0,0.145386126366
41.0,0.141998998208
42.0,0.138788650434
43.0,0.135741087237
44.0,0.132843829433
45.0,0.130085676562
46.0,0.127456526707
47.0,0.124947232964
48.0,0.122549484849
49.0,0.120255707893
50.0,0.11805897725
51.0,0.115952942599
52.0,0.113931762425
53.0,0.111990046257
54.0,0.110122803739
55.0,0.108325399622
56.0,0.106593513889
57.0,0.104923106386
58.0,0.103310385391
59.0,0.101751779656
60.0,0.100243913514
61.0,0.0987835846963
62.0,0.0973677445696
63.0,0.0959934805303
64.0,0.0946580003414
65.0,0.0933586182299
66.0,0.0920927425928
67.0,0.0908578651878
68.0,0.0896515517086
69.0,0.0884714336688
70.0,0.0873152015378
71.0,0.0861805990913
72.0,0.0850654189566
73.0,0.0839674993528
74.0,0.0828847220381
75.0,0.0818150114994
76.0,0.0807563354312
77.0,0.0797067065684
78.0,0.0786641859539
79.0,0.0776268877328
80.0,0.076592985574
81.0,0.0755607208267
82.0,0.0745284125192
83.0,0.0734944692959
84.0,0.0724574033778
85.0,0.0714158466528
86.0,0.0703685687126
87.0,0.06931449706
88.0,0.0682527392638
89.0,0.0671826068359
90.0,0.0661036405521
91.0,0.0650156367782
92.0,0.0639186742169
93.0,0.0628131403257
94.0,0.0616997564781
95.0,0.060579600751
96.0,0.059454127038
97.0,0.058325179004
98.0,0.0571949972485
99.0,0.0560662179329
100.0,0.054941861092
101.0,0.053825306916
102.0,0.0527202584876
103.0,0.0516306898234
104.0,0.0505607786245
105.0,0.0495148239009
106.0,0.0484971495916
107.0,0.0475119964261
108.0,0.0465634055028
109.0,0.0456550982852
110.0,0.0447903588108
111.0,0.0439719246981
112.0,0.0432018938616
113.0,0.0424816535508
114.0,0.041811837331
115.0,0.0411923139184
116.0,0.0406222094843
117.0,0.0400999623881
118.0,0.0396234065982
119.0,0.0391898776876
120.0,0.0387963335712
121.0,0.0384394813178
122.0,0.0381159015184
123.0,0.0378221627315
124.0,0.0375549202506
125.0,0.0373109955366
126.0,0.0370874348032
127.0,0.0368815471648
128.0,0.0366909242495
129.0,0.0365134441654
130.0,0.0363472631907
131.0,0.0361907986027
132.0,0.0360427057932
133.0,0.0359018523523
134.0,0.0357672912432
135.0,0.0356382346331
136.0,0.0355140294337
137.0,0.0353941351822
138.0,0.0352781045562
139.0,0.0351655665777
140.0,0.0350562123912
141.0,0.0349497834032
142.0,0.034846061517
143.0,0.0347448611777
144.0,0.0346460229534
145.0,0.0345494083936
146.0,0.0344548959386
147.0,0.0343623776804
148.0,0.0342717568094
149.0,0.0341829456058
150.0,0.0340958638623
151.0,0.0340104376462
152.0,0.0339265983262
153.0,0.0338442818049
154.0,0.0337634279124
155.0,0.0336839799232
156.0,0.0336058841688
157.0,0.0335290897256
158.0,0.0334535481587
159.0,0.0333792133122
160.0,0.0333060411326
161.0,0.0332339895205
162.0,0.0331630182037
163.0,0.0330930886273
164.0,0.0330241638572
165.0,0.0329562084956
166.0,0.0328891886047
167.0,0.0328230716384
168.0,0.0327578263806
169.0,0.0326934228881
