Iteration,Error
1.0,0.0122590298664
2.0,0.0123459038599
3.0,0.0122550163332
4.0,0.0120890471254
5.0,0.0120882264498
6.0,0.0122528438517
7.0,0.0120568981919
8.0,0.0121636715075
9.0,0.0121992908699
10.0,0.0122276948633
11.0,0.0122505264973
12.0,0.0120213335613
13.0,0.0120889658441
14.0,0.0121072302582
15.0,0.0121633405404
16.0,0.0123943267857
17.0,0.012291846214
18.0,0.0120786937973
19.0,0.0121562740208
20.0,0.0121863262628
21.0,0.0120723632229
22.0,0.0121795200359
23.0,0.0121441701491
24.0,0.0122971520583
25.0,0.0120423975526
26.0,0.0121098431132
27.0,0.0120697247335
28.0,0.0122384670538
29.0,0.0119498168623
30.0,0.0122445458567
31.0,0.012299775993
32.0,0.0121002016003
33.0,0.0120461959768
34.0,0.0120416877847
35.0,0.0121926695695
36.0,0.0121674023479
37.0,0.0121848152805
38.0,0.0121437333743
39.0,0.0121651695899
40.0,0.0121163091021
41.0,0.0120823510599
42.0,0.0121626609039
43.0,0.0120819538931
44.0,0.0121567283412
45.0,0.0121170258446
46.0,0.0120387241671
47.0,0.0120180569367
48.0,0.0122868256701
49.0,0.0122343651655
50.0,0.0121909638536
51.0,0.0122086246464
52.0,0.012149566365
53.0,0.0119973088241
54.0,0.0120771419478
55.0,0.0123137350893
56.0,0.0121769753598
57.0,0.0123361429882
58.0,0.0122239741148
59.0,0.0123246773651
60.0,0.0120471648535
61.0,0.0120985790009
62.0,0.0121987879874
63.0,0.0122458103309
64.0,0.01230671495
65.0,0.0120474365683
66.0,0.0119911595923
67.0,0.0119970356408
68.0,0.0121023683745
69.0,0.0121357265572
70.0,0.0123896117836
71.0,0.0119764735561
72.0,0.0122134296379
73.0,0.0120645095143
74.0,0.0121304858689
75.0,0.0121524675812
76.0,0.0118579073441
77.0,0.0121073805609
78.0,0.0120712681252
79.0,0.0121010598968
80.0,0.0121891168524
81.0,0.0122146644186
82.0,0.0120888165681
83.0,0.0120514497735
84.0,0.0120353801075
85.0,0.0121908165881
86.0,0.0121417114635
87.0,0.0121518451617
88.0,0.0121449734439
89.0,0.0123239406618
90.0,0.0122269254934
91.0,0.0119501408838
92.0,0.0121786177971
93.0,0.012094714455
94.0,0.0120788233649
95.0,0.0120792263399
96.0,0.0120302439276
97.0,0.0120868241853
98.0,0.0121102314182
99.0,0.0119636634623
100.0,0.0120243548427
101.0,0.0120063095001
102.0,0.012267291174
103.0,0.0121062191679
104.0,0.0122000231375
105.0,0.0120251849681
106.0,0.0119813298166
107.0,0.0119343060254
108.0,0.0119189596082
109.0,0.011986917637
110.0,0.0120326804162
111.0,0.0120831314106
112.0,0.0119499148878
113.0,0.0122573541725
114.0,0.0119674981695
115.0,0.0122051979844
116.0,0.012076022242
117.0,0.0118478662317
118.0,0.0122805251505
119.0,0.0119778821599
120.0,0.0118772373295
121.0,0.0120426120327
122.0,0.0121136791179
123.0,0.011975310256
124.0,0.0119440071328
125.0,0.0119855797969
126.0,0.0120125629664
127.0,0.0121080923764
128.0,0.0119165154153
129.0,0.0118074917091
130.0,0.0118545291409
131.0,0.011961627033
132.0,0.0119679583591
133.0,0.0119670449831
134.0,0.012017455672
135.0,0.0119987501531
136.0,0.011862025575
137.0,0.0121605441705
138.0,0.0120741779948
139.0,0.011901219179
140.0,0.0119367100328
141.0,0.0119473164896
142.0,0.0118536028703
143.0,0.0118156463055
144.0,0.0118583937536
145.0,0.0120764607675
146.0,0.0118882955027
147.0,0.011830482565
