Iteration,Error
1.0,0.470912456562
2.0,0.467491130677
3.0,0.462235564402
4.0,0.457137985831
5.0,0.45377876146
6.0,0.45281729048
7.0,0.453920590194
8.0,0.456072717292
9.0,0.458078064189
10.0,0.459035388056
11.0,0.458612682856
12.0,0.457058973607
13.0,0.454998572801
14.0,0.453125145759
15.0,0.451927690553
16.0,0.451543634106
17.0,0.45176913798
18.0,0.452192820028
19.0,0.452379815894
20.0,0.452028278052
21.0,0.451045288743
22.0,0.449528920807
23.0,0.447680306297
24.0,0.445690850521
25.0,0.443650304657
26.0,0.441504996932
27.0,0.439071401418
28.0,0.436088760142
29.0,0.432283092822
30.0,0.427415946185
31.0,0.421301991943
32.0,0.413794377488
33.0,0.404749496896
34.0,0.393989429806
35.0,0.381279585244
36.0,0.366332801955
37.0,0.348842602492
38.0,0.328540781379
39.0,0.305270045629
40.0,0.279061193522
41.0,0.250204925721
42.0,0.219308788958
43.0,0.187328419998
44.0,0.155559155509
45.0,0.125571192839
46.0,0.0990726643693
47.0,0.0776948174894
48.0,0.0627150175493
49.0,0.054764543864
50.0,0.0535990003126
51.0,0.0580218727919
52.0,0.066028499579
53.0,0.0751738067228
54.0,0.0830817540958
55.0,0.0879472797307
56.0,0.0888720412156
57.0,0.0859354475004
58.0,0.0800047933695
59.0,0.0723809735067
60.0,0.0644162398367
61.0,0.057218631006
62.0,0.0514981921464
63.0,0.0475489224602
64.0,0.0453227671699
65.0,0.0445434391485
66.0,0.0448194158219
67.0,0.0457339968621
68.0,0.0469062035769
69.0,0.0480256841607
70.0,0.0488681410975
71.0,0.0492974745123
72.0,0.0492591801575
73.0,0.0487680183506
74.0,0.0478920996416
75.0,0.0467352073562
76.0,0.0454190572198
77.0,0.044067000391
78.0,0.0427903177264
79.0,0.0416778098582
80.0,0.0407890033927
81.0,0.040151056932
82.0,0.039759331608
83.0,0.0395814635137
84.0,0.039564510623
85.0,0.0396443155587
86.0,0.0397557459128
87.0,0.0398421642703
88.0,0.0398625414403
89.0,0.0397951204722
90.0,0.0396373388218
91.0,0.0394025587145
92.0,0.0391147669926
93.0,0.0388026228641
94.0,0.0384940600558
95.0,0.0382122305565
96.0,0.0379731010236
97.0,0.0377846307237
98.0,0.037647235775
99.0,0.0375551624113
100.0,0.0374983958225
101.0,0.037464767761
102.0,0.0374419695766
103.0,0.0374192281132
104.0,0.0373884707358
105.0,0.0373448964715
106.0,0.0372869718014
107.0,0.0372159601223
108.0,0.0371351515795
109.0,0.0370489740102
110.0,0.0369621405676
111.0,0.0368789414259
112.0,0.0368027353623
113.0,0.0367356561898
114.0,0.0366785235368
115.0,0.0366309334022
116.0,0.0365914941023
117.0,0.0365581629252
118.0,0.0365286285491
119.0,0.0365006788491
120.0,0.036472498292
121.0,0.036442855464
122.0,0.0364111659941
123.0,0.0363774421463
124.0,0.0363421601133
125.0,0.0363060849624
126.0,0.0362700910902
127.0,0.0362350064966
128.0,0.0362014971677
129.0,0.0361699973979
130.0,0.0361406847282
131.0,0.0361134939706
132.0,0.0360881621845
133.0,0.036064294431
134.0,0.0360414385542
135.0,0.0360191568072
136.0,0.0359970836018
137.0,0.0359749621517
138.0,0.0359526575636
139.0,0.0359301487017
140.0,0.0359075046274
141.0,0.0358848528764
142.0,0.0358623463768
143.0,0.0358401341058
144.0,0.0358183385289
145.0,0.0357970411151
146.0,0.0357762760238
147.0,0.0357560312973
148.0,0.0357362563179
149.0,0.0357168737446
150.0,0.0356977936853
151.0,0.0356789276489
152.0,0.0356602000509
153.0,0.0356415557243
154.0,0.0356229628545
155.0,0.0356044117304
156.0,0.0355859104158
157.0,0.035567478751
158.0,0.0355491420096
159.0,0.0355309252128
160.0,0.0355128487111
161.0,0.035494925306
162.0,0.0354771589563
163.0,0.0354595449541
164.0,0.0354420713345
165.0,0.035424721164
166.0,0.0354074752589
167.0,0.0353903148495
168.0,0.0353732237591
169.0,0.035356189808
170.0,0.0353392053449
171.0,0.03532226699
172.0,0.0353053748072
173.0,0.0352885311701
