Iteration,Error
1.0,0.471173733314
2.0,0.467726333514
3.0,0.462425320811
4.0,0.457270680601
5.0,0.453848903953
6.0,0.452822412941
7.0,0.453858171216
8.0,0.455938171962
9.0,0.457864062089
10.0,0.45873207996
11.0,0.458208092356
12.0,0.456538871254
13.0,0.454345463865
14.0,0.452316375965
15.0,0.45093294796
16.0,0.450322222556
17.0,0.450267324821
18.0,0.450341379785
19.0,0.450091679186
20.0,0.449196013901
21.0,0.447538034479
22.0,0.445188342311
23.0,0.442315228717
24.0,0.439070351604
25.0,0.43549531165
26.0,0.431478761162
27.0,0.426769607304
28.0,0.421030407517
29.0,0.413903638346
30.0,0.405064522564
31.0,0.394244945853
32.0,0.381228042347
33.0,0.36582618226
34.0,0.3478620291
35.0,0.32717159294
36.0,0.303641008619
37.0,0.277277885697
38.0,0.248306476535
39.0,0.217265831583
40.0,0.185082967187
41.0,0.153090032809
42.0,0.122957202235
43.0,0.0965238591656
44.0,0.0755316494194
45.0,0.0612937224022
46.0,0.0543692410582
47.0,0.0543380575744
48.0,0.0597695300485
49.0,0.0684382755159
50.0,0.0777620791433
51.0,0.085351158295
52.0,0.0895054095426
53.0,0.0895082482595
54.0,0.0856406506799
55.0,0.0789417401926
56.0,0.0708246121857
57.0,0.0626847051617
58.0,0.0556102124063
59.0,0.0502438182277
60.0,0.0467850744336
61.0,0.0450858625762
62.0,0.0447830083173
63.0,0.0454241555792
64.0,0.046562947442
65.0,0.0478175259926
66.0,0.0488977015932
67.0,0.0496105710538
68.0,0.0498539071123
69.0,0.0496038408439
70.0,0.0489002552951
71.0,0.0478310852643
72.0,0.0465157435063
73.0,0.0450879556669
74.0,0.0436788792706
75.0,0.042401969728
76.0,0.0413412611097
77.0,0.0405444217447
78.0,0.0400212284445
79.0,0.0397472224853
80.0,0.0396715249773
81.0,0.0397272725879
82.0,0.0398429361592
83.0,0.0399528589364
84.0,0.0400056217189
85.0,0.0399692533028
86.0,0.0398328255169
87.0,0.0396045638973
88.0,0.0393071851346
89.0,0.0389716167918
90.0,0.0386304434987
91.0,0.0383123021372
92.0,0.0380380621112
93.0,0.0378191071428
94.0,0.0376575438641
95.0,0.0375478268703
96.0,0.0374791611511
97.0,0.0374380942346
98.0,0.0374108670795
99.0,0.0373852731217
100.0,0.0373519226557
101.0,0.0373049057114
102.0,0.0372419008322
103.0,0.037163811139
104.0,0.0370740388773
105.0,0.036977538043
106.0,0.0368798030821
107.0,0.0367859486386
108.0,0.036700005407
109.0,0.0366245051757
110.0,0.0365603675443
111.0,0.0365070474373
112.0,0.0364628680883
113.0,0.0364254522095
114.0,0.0363921705241
115.0,0.0363605437288
116.0,0.036328553833
117.0,0.0362948395894
118.0,0.036258767676
119.0,0.0362203871933
120.0,0.0361802898721
121.0,0.0361394103724
122.0,0.0360988073726
123.0,0.0360594646552
124.0,0.0360221421812
125.0,0.0359872928372
126.0,0.035955045306
127.0,0.0359252413454
128.0,0.035897509018
129.0,0.0358713522478
130.0,0.0358462399253
131.0,0.0358216824576
132.0,0.0357972883795
133.0,0.035772797573
134.0,0.0357480907693
135.0,0.0357231776687
136.0,0.0356981683761
137.0,0.0356732347062
138.0,0.0356485688171
139.0,0.0356243462152
140.0,0.0356006984407
141.0,0.0355776981444
142.0,0.0355553565304
